tunecache	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Tue Dec 23 14:17:31 2025

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
         8x8x8x8	N4quda11CopyGaugeExIddLi18ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES5_EE	GPU-offline,vol=4096,stride=2304,precision=8,geometry=4,Nc=3vol=4096,stride=2048,precision=8,geometry=4,Nc=3,r=0000	320	1	1	7	2	1	0	-1	-1	-1	-1	1.72138e-05	# 0.00 Gflop/s, 291.25 GB/s, tuning took 0.065182 seconds at Sun Dec 21 15:21:26 2025
         8x8x8x8	N4quda12CloverInvertIdEE	GPU-offline,vol=4096precision=8Nc=3,trlog,twist=false	96	2	1	30	1	1	12289	-1	-1	-1	-1	5.84196e-05	# 0.00 Gflop/s, 31.41 GB/s, tuning took 1.318518 seconds at Sun Dec 21 15:21:29 2025
         8x8x8x8	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=4096,stride=2304,precision=8,geometry=4,Nc=3,extract	64	1	3	8	1	3	16385	-1	-1	-1	-1	2.33058e-06	# 0.00 Gflop/s, 168.72 GB/s, tuning took 0.014710 seconds at Sun Dec 21 15:21:27 2025
         8x8x8x8	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=4096,stride=2304,precision=8,geometry=4,Nc=3,extract	64	1	3	8	1	3	24577	-1	-1	-1	-1	2.79558e-06	# 0.00 Gflop/s, 210.98 GB/s, tuning took 0.018050 seconds at Sun Dec 21 15:21:26 2025
         8x8x8x8	N4quda12WilsonCloverINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0ELb0EEEEE	policy,GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	32	1	1	1	1	1	0	0	0	0	-1	8.38827e-05	# 93.75 Gflop/s, 134.38 GB/s, tuning took 0.002908 seconds at Sun Dec 21 17:11:34 2025
         8x8x8x8	N4quda12WilsonCloverINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	160	1	1	13	1	2	25345	-1	-1	-1	-1	8.38827e-05	# 93.75 Gflop/s, 134.38 GB/s, tuning took 0.176769 seconds at Sun Dec 21 17:11:34 2025
         8x8x8x8	N4quda13ComputeCloverIdEE	GPU-offline,vol=4096precision=8Nc=3	160	1	1	13	2	1	0	-1	-1	-1	-1	2.66517e-05	# 73.77 Gflop/s, 201.64 GB/s, tuning took 0.013560 seconds at Sun Dec 21 15:21:28 2025
         8x8x8x8	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0ELb0EEENS1_21SpaceSpinorColorOrderIdLi4ELi3EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=4096,parity=2,precision=8,order=9,Ns=4,Nc=3vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3to_ukqcd,from_degrand_rossi	160	1	1	13	2	1	0	-1	-1	-1	-1	4.96071e-06	# 0.00 Gflop/s, 317.06 GB/s, tuning took 0.018032 seconds at Sun Dec 21 15:21:29 2025
         8x8x8x8	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELi2ELb0ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3vol=4096,parity=2,precision=8,order=9,Ns=4,Nc=3to_degrand_rossi,from_ukqcd	32	1	1	64	2	1	0	-1	-1	-1	-1	5.16602e-06	# 0.00 Gflop/s, 304.46 GB/s, tuning took 0.012226 seconds at Sun Dec 21 15:21:30 2025
         8x8x8x8	N4quda4blas4axy_IdEE	GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	128	1	2	56	1	1	0	-1	-1	-1	-1	3.76719e-06	# 78.28 Gflop/s, 417.52 GB/s, tuning took 0.014134 seconds at Sun Dec 21 15:21:29 2025
         8x8x8x8	N4quda4blas5Norm2IddEE	GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	256	1	1	28	1	1	0	-1	-1	-1	-1	8.80264e-06	# 22.34 Gflop/s, 89.34 GB/s, tuning took 0.038451 seconds at Sun Dec 21 15:21:29 2025
         8x8x8x8	N4quda5FmunuIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=4096,stride=2048,precision=8,geometry=4,Nc=3,r=0000,comm=0000	32	1	2	64	2	3	3511	-1	-1	-1	-1	0.000452267	# 134.00 Gflop/s, 91.29 GB/s, tuning took 0.406811 seconds at Sun Dec 21 15:21:28 2025
         8x8x8x8	N4quda6CovDevINS_9CovDevArgIdLi4ELi3EL21QudaReconstructType_s12ELi4EEEEE	policy,GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,mu=2,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	32	1	1	1	1	1	0	0	0	0	-1	1.14469e-05	# 94.47 Gflop/s, 171.76 GB/s, tuning took 0.002088 seconds at Sun Dec 21 15:21:31 2025
         8x8x8x8	N4quda6CovDevINS_9CovDevArgIdLi4ELi3EL21QudaReconstructType_s12ELi4EEEEE	policy,GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,mu=6,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	32	1	1	1	1	1	0	1	0	0	-1	1.15724e-05	# 93.44 Gflop/s, 169.89 GB/s, tuning took 0.002084 seconds at Sun Dec 21 15:21:31 2025
         8x8x8x8	N4quda6CovDevINS_9CovDevArgIdLi4ELi3EL21QudaReconstructType_s12ELi4EEEEE	policy_kernel=interior,GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,comm=0000,mu=2	32	1	1	64	1	2	7799	-1	-1	-1	-1	1.14327e-05	# 94.58 Gflop/s, 171.97 GB/s, tuning took 0.093637 seconds at Sun Dec 21 15:21:31 2025
         8x8x8x8	N4quda6CovDevINS_9CovDevArgIdLi4ELi3EL21QudaReconstructType_s12ELi4EEEEE	policy_kernel=interior,GPU-offline,vol=4096,parity=2,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,comm=0000,mu=6	32	1	1	64	1	2	9217	-1	-1	-1	-1	1.15643e-05	# 93.51 Gflop/s, 170.01 GB/s, tuning took 0.035428 seconds at Sun Dec 21 15:21:31 2025
